customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,customer_segment
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,Adult,365,13,20,365,1,1,1,111,Low Value
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,Middle-aged,90,7,56,90,2,1,2,212,Low Value
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,Middle-aged,90,41,94,90,2,4,4,244,Loyal
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,Young Adult,7,14,48,7,4,2,2,422,Low Value
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,Middle-aged,30,16,31,30,3,2,1,321,Low Value
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,Adult,30,45,79,30,3,4,3,343,High Value
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,Adult,365,37,67,365,1,3,3,133,Loyal
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,Middle-aged,90,45,38,90,2,4,1,241,At Risk
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,Adult,90,38,91,90,2,3,4,234,Loyal
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,Middle-aged,14,48,33,14,4,4,1,441,Low Value
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,Adult,14,44,69,14,4,4,3,443,High Value
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,Adult,7,10,45,7,4,1,2,412,Low Value
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,Young Adult,90,44,37,90,2,4,1,241,At Risk
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,Senior,30,18,60,30,3,2,2,322,Low Value
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,Senior,90,31,76,90,2,3,3,233,Loyal
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,Senior,365,40,39,365,1,4,1,141,At Risk
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,Young Adult,365,15,100,365,1,2,4,124,At Risk
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,Young Adult,14,19,69,14,4,2,3,423,Low Value
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,Adult,7,45,53,7,4,4,2,442,Low Value
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,Middle-aged,365,25,21,365,1,2,1,121,At Risk
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,Middle-aged,90,45,43,90,2,4,2,242,At Risk
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,Middle-aged,7,36,54,7,4,3,2,432,Low Value
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,Adult,30,38,55,30,3,3,2,332,Low Value
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,Senior,14,34,30,14,4,3,1,431,Low Value
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,Middle-aged,14,39,28,14,4,4,1,441,Low Value
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,Senior,90,7,59,90,2,1,2,212,Low Value
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,Adult,7,26,20,7,4,3,1,431,Low Value
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,Young Adult,7,35,24,7,4,3,1,431,Low Value
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,Middle-aged,14,35,94,14,4,3,4,434,High Value
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,Adult,365,49,28,365,1,4,1,141,At Risk
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,Adult,7,46,73,7,4,4,3,443,High Value
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,Young Adult,14,17,64,14,4,2,3,423,Low Value
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,Senior,30,29,54,30,3,3,2,332,Low Value
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,Senior,7,4,79,7,4,1,3,413,Low Value
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,Middle-aged,7,17,37,7,4,2,1,421,Low Value
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,Middle-aged,90,21,68,90,2,2,3,223,At Risk
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,Young Adult,14,31,21,14,4,3,1,431,Low Value
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,Adult,7,43,79,7,4,4,3,443,High Value
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,Senior,14,18,83,14,4,2,4,424,Low Value
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,Senior,90,44,36,90,2,4,1,241,At Risk
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,Young Adult,90,3,94,90,2,1,4,214,Low Value
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,Middle-aged,30,49,33,30,3,4,1,341,Low Value
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,Middle-aged,90,21,46,90,2,2,2,222,At Risk
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,Middle-aged,7,5,70,7,4,1,3,413,Low Value
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,Young Adult,90,32,29,90,2,3,1,231,At Risk
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,Adult,365,34,48,365,1,3,2,132,At Risk
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,Young Adult,90,21,26,90,2,2,1,221,At Risk
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,Middle-aged,14,43,85,14,4,4,4,444,High Value
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,Middle-aged,30,3,58,30,3,1,2,312,Low Value
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,Senior,365,21,85,365,1,2,4,124,At Risk
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,Middle-aged,30,32,43,30,3,3,2,332,Low Value
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,Young Adult,14,36,53,14,4,3,2,432,Low Value
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,Middle-aged,14,50,91,14,4,4,4,444,High Value
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,Adult,90,43,96,90,2,4,4,244,Loyal
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,Young Adult,90,24,72,90,2,2,3,223,At Risk
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Every 3 Months,Senior,90,36,96,90,2,3,4,234,Loyal
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,Young Adult,90,21,28,90,2,2,1,221,At Risk
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,Adult,7,34,40,7,4,3,2,432,Low Value
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Every 3 Months,Middle-aged,90,42,32,90,2,4,1,241,At Risk
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,Middle-aged,14,2,95,14,4,1,4,414,Low Value
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,Young Adult,14,47,41,14,4,4,2,442,Low Value
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,Middle-aged,14,44,53,14,4,4,2,442,Low Value
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,Adult,30,35,47,30,3,3,2,332,Low Value
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,Middle-aged,90,15,83,90,2,2,4,224,At Risk
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,Young Adult,30,29,48,30,3,3,2,332,Low Value
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Every 3 Months,Adult,90,18,99,90,2,2,4,224,At Risk
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Every 3 Months,Senior,90,13,87,90,2,1,4,214,Low Value
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,Adult,7,46,62,7,4,4,3,443,High Value
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,Senior,7,28,76,7,4,3,3,433,High Value
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,Adult,30,48,100,30,3,4,4,344,High Value
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,43,Venmo,Every 3 Months,Adult,90,43,73,90,2,4,3,243,Loyal
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,37,Cash,Annually,Young Adult,365,37,92,365,1,3,4,134,Loyal
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually,Young Adult,365,20,67,365,1,2,3,123,At Risk
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,Young Adult,90,33,40,90,2,3,2,232,At Risk
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,Senior,14,31,98,14,4,3,4,434,High Value
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,50,Credit Card,Bi-Weekly,Young Adult,14,50,85,14,4,4,4,444,High Value
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,35,Credit Card,Quarterly,Middle-aged,90,35,67,90,2,3,3,233,Loyal
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,22,Venmo,Bi-Weekly,Middle-aged,14,22,89,14,4,2,4,424,Low Value
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,1,PayPal,Monthly,Middle-aged,30,1,24,30,3,1,1,311,Low Value
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,4,Bank Transfer,Annually,Senior,365,4,96,365,1,1,4,114,Low Value
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,31,Credit Card,Monthly,Senior,30,31,35,30,3,3,1,331,Low Value
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,46,PayPal,Fortnightly,Young Adult,14,46,67,14,4,4,3,443,High Value
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,32,Bank Transfer,Bi-Weekly,Senior,14,32,79,14,4,3,3,433,High Value
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,43,Bank Transfer,Fortnightly,Senior,14,43,85,14,4,4,4,444,High Value
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,26,Venmo,Fortnightly,Middle-aged,14,26,26,14,4,3,1,431,Low Value
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,9,Credit Card,Annually,Young Adult,365,9,75,365,1,1,3,113,Low Value
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,28,PayPal,Bi-Weekly,Adult,14,28,65,14,4,3,3,433,High Value
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,20,PayPal,Quarterly,Adult,90,20,54,90,2,2,2,222,At Risk
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,9,Cash,Weekly,Senior,7,9,95,7,4,1,4,414,Low Value
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,48,Debit Card,Every 3 Months,Middle-aged,90,48,94,90,2,4,4,244,Loyal
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,12,Venmo,Annually,Middle-aged,365,12,86,365,1,1,4,114,Low Value
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,29,Cash,Fortnightly,Middle-aged,14,29,32,14,4,3,1,431,Low Value
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,27,Cash,Bi-Weekly,Middle-aged,14,27,45,14,4,3,2,432,Low Value
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,44,Cash,Annually,Adult,365,44,76,365,1,4,3,143,Loyal
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,32,Bank Transfer,Annually,Senior,365,32,84,365,1,3,4,134,Loyal
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,11,Cash,Fortnightly,Young Adult,14,11,72,14,4,1,3,413,Low Value
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,44,Cash,Fortnightly,Adult,14,44,40,14,4,4,2,442,Low Value
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,46,Cash,Weekly,Middle-aged,7,46,89,7,4,4,4,444,High Value
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,50,PayPal,Annually,Adult,365,50,86,365,1,4,4,144,Loyal
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,45,Venmo,Every 3 Months,Middle-aged,90,45,54,90,2,4,2,242,At Risk
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,48,Cash,Every 3 Months,Adult,90,48,36,90,2,4,1,241,At Risk
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,26,Credit Card,Weekly,Young Adult,7,26,89,7,4,3,4,434,High Value
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,Yes,21,Credit Card,Fortnightly,Young Adult,14,21,32,14,4,2,1,421,Low Value
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,49,PayPal,Bi-Weekly,Young Adult,14,49,67,14,4,4,3,443,High Value
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,13,PayPal,Fortnightly,Adult,14,13,39,14,4,1,1,411,Low Value
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,46,Credit Card,Weekly,Young Adult,7,46,29,7,4,4,1,441,Low Value
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,42,PayPal,Weekly,Young Adult,7,42,58,7,4,4,2,442,Low Value
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,25,Venmo,Annually,Middle-aged,365,25,65,365,1,2,3,123,At Risk
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,25,Cash,Monthly,Adult,30,25,94,30,3,2,4,324,Low Value
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,12,PayPal,Quarterly,Adult,90,12,81,90,2,1,3,213,Low Value
137,39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,4,Debit Card,Quarterly,Adult,90,4,86,90,2,1,4,214,Low Value
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,38,PayPal,Weekly,Senior,7,38,43,7,4,3,2,432,Low Value
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,42,Bank Transfer,Weekly,Senior,7,42,29,7,4,4,1,441,Low Value
140,49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,30,Venmo,Annually,Middle-aged,365,30,95,365,1,3,4,134,Loyal
141,63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,50,Credit Card,Weekly,Senior,7,50,28,7,4,4,1,441,Low Value
142,56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,45,PayPal,Weekly,Middle-aged,7,45,46,7,4,4,2,442,Low Value
143,37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,33,Credit Card,Fortnightly,Adult,14,33,58,14,4,3,2,432,Low Value
144,30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,25,PayPal,Quarterly,Young Adult,90,25,48,90,2,2,2,222,At Risk
145,19,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,25,Cash,Monthly,Young Adult,30,25,43,30,3,2,2,322,Low Value
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,44,Debit Card,Quarterly,Young Adult,90,44,95,90,2,4,4,244,Loyal
147,52,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Yes,Standard,Yes,21,Venmo,Fortnightly,Middle-aged,14,21,30,14,4,2,1,421,Low Value
148,63,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,31,Bank Transfer,Fortnightly,Senior,14,31,64,14,4,3,3,433,High Value
